,Species,A6
0,Tricholepidion_gertschi_89825,1
1,Ctenolepisma_villosum_257043,1
2,Lepisma_saccharina_50586,1
3,Neoasterolepisma_foreli_2779710,1
4,Thermobia_domestica_89055,1
5,Atelura_formicaria_459531,1
6,Brachinus_crepitans_877828,1
7,Mastax_latefasciata_2962404,1
8,Pheropsophus_occipitalis_2609405,1
9,Broscus_cephalotes_1553377,1
10,Carabus_changeonleei_2706872,1
11,Carabus_nemoralis_49290,1
12,Carabus_arvensis_49192,1
13,Carabus_granulatus_118799,1
14,Carabus_lafossei_1980559,2
15,Carabus_smaragdinus_120930,1
16,Damaster_mirabilissimus_658856,1
17,Carabus_hortensis_82180,1
18,Cychrus_caraboides_230269,1
19,Calomera_brevipilosa_2976104,1
20,Cicindela_anchoralis_212429,1
21,Cicindela_campestris_150234,1
22,Cicindela_puritana_27453,1
23,Habrodera_capensis_175592,1
24,Habroscelimorpha_dorsalis_38653,4
25,Odontocheila_batesii_2021814,1
26,Pogonostoma_subtiligrossum_1343354,1
27,Manticora_tibialis_1343345,1
28,Australicapitona_hopei_2021813,1
29,Omus_cazieri_1343352,1
30,Platychile_pallida_175620,1
31,Pseudotetracha_mendacia_346499,1
32,Blethisa_multipunctata_60828,1
33,Elaphrus_cupreus_48623,1
34,Galerita_orientalis_2898108,1
35,Anisodactylus_poeciloides_346700,1
36,Bradycellus_ruficollis_877834,1
37,Harpalus_anxius_247284,1
38,Harpalus_discrepans_761917,1
39,Harpalus_griseus_247441,1
40,Harpalus_pensylvanicus_331376,1
41,Harpalus_sinicus_2107218,1
42,Hexagonia_terminalis_1205596,1
43,Craspedophorus_nobilis_1205595,1
44,Abax_parallelepipedus_102642,2
45,Abax_parallelus_555424,1
46,Pterostichus_oblongopunctatus_245858,1
47,Pterostichus_melanarius_60768,1
48,Pterostichus_niger_106386,1
49,Pterostichus_madidus_767470,1
50,Stomis_pumicatus_347466,2
51,Amara_aulica_536885,1
52,Amara_communis_877769,1
53,Amara_ovata_346692,1
54,Calleida_angusticollis_1205593,1
55,Lebia_chlorocephala_1553515,1
56,Diplocheila_zealandica_2611570,1
57,Diplocheila_zeelandica_2859692,1
58,Loricera_pilicornis_60819,1
59,Nebria_ingens_1158014,1
60,Nebria_brevicollis_110024,1
61,Notiophilus_quadripunctatus_2713611,1
62,Omophron_limbatum_207749,1
63,Metrius_contractus_63961,1
64,Agonum_muelleri_536884,1
65,Calathus_melanocephalus_127479,1
66,Promecognathus_crassus_63953,1
67,Omoglymmius_wukong_2983420,1
68,Rhyzodiastes_puetzi_2983424,1
69,Scarites_buparius_76544,1
70,Scarites_subterraneus_60809,2
71,Bembidion_varium_1166835,1
72,Tachyta_nana_931308,1
73,Pogonus_iridipennis_1588393,1
74,Trechoblemus_micros_879058,1
75,Trachypachus_holmbergi_60840,1
76,Amphizoa_insolens_107775,1
77,Aspidytes_niobe_183865,1
78,Agabus_paludosus_207455,1
79,Agabus_uliginosus_1163528,1
80,Platambus_maculatus_156969,1
81,Colymbetes_fuscus_1509382,1
82,Liopterus_haemorrhoidalis_107794,1
83,Acilius_sulcatus_107768,1
84,Cybister_japonicus_398594,1
85,Cybister_lateralimarginalis_107796,1
86,Dytiscus_sharpi_940473,1
87,Eretes_sticticus_107803,1
