,Species_name,GAskew,Gene_name,TCskew,Stg-Sac
0,Reticulitermes leptomandibularis,-0.1377245508982036,['ND2'],-0.4934823091247672,89
1,Reticulitermes leptomandibularis,-0.07142857142857142,['COX1'],-0.33508541392904073,133
2,Reticulitermes leptomandibularis,-0.025,['COX2'],-0.5013698630136987,60
3,Reticulitermes leptomandibularis,-0.08333333333333333,['ATP8'],-0.8160919540229885,8
4,Reticulitermes leptomandibularis,-0.09253731343283582,['ATP6'],-0.5801749271137027,66
5,Reticulitermes leptomandibularis,-0.028423772609819122,['COX3'],-0.38308457711442784,93
6,Reticulitermes leptomandibularis,-0.04142011834319527,['ND3'],-0.5351351351351351,46
7,Reticulitermes leptomandibularis,-0.6228239845261122,['ND5'],0.15606936416184972,-158
8,Reticulitermes leptomandibularis,-0.5947867298578199,['ND4'],0.24748490945674045,-135
9,Reticulitermes leptomandibularis,-0.7189189189189189,['ND4L'],0.08737864077669903,-25
10,Reticulitermes leptomandibularis,-0.04265402843601896,['ND6'],-0.6583629893238434,51
11,Reticulitermes leptomandibularis,0.0035587188612099642,['CYTB'],-0.4446397188049209,130
12,Reticulitermes leptomandibularis,-0.6277495769881557,['ND1'],0.2022792022792023,-69
13,Roisinitermes ebogoensis,-0.16699410609037327,['ND2'],-0.45136186770428016,60
14,Roisinitermes ebogoensis,-0.12833545108005082,['COX1'],-0.3562005277044855,140
15,Roisinitermes ebogoensis,-0.12727272727272726,['COX2'],-0.5154929577464789,49
16,Roisinitermes ebogoensis,-0.18421052631578946,['ATP8'],-0.6867469879518072,14
17,Roisinitermes ebogoensis,-0.11048158640226628,['ATP6'],-0.5126582278481012,63
18,Roisinitermes ebogoensis,-0.116751269035533,['COX3'],-0.40759493670886077,82
19,Roisinitermes ebogoensis,-0.05945945945945946,['ND3'],-0.5384615384615384,38
20,Roisinitermes ebogoensis,-0.6627450980392157,['ND5'],0.025495750708215296,-156
21,Roisinitermes ebogoensis,-0.6457564575645757,['ND4'],0.04380952380952381,-104
22,Roisinitermes ebogoensis,-0.6759776536312849,['ND4L'],0.10091743119266056,-22
23,Roisinitermes ebogoensis,-0.1829787234042553,['ND6'],-0.603112840466926,42
24,Roisinitermes ebogoensis,-0.07742998352553541,['CYTB'],-0.476280834914611,100
25,Roisinitermes ebogoensis,-0.6776429809358753,['ND1'],0.181058495821727,-82
26,Pericapritermes nitobei,-0.1856060606060606,['ND2'],-0.4274353876739563,62
27,Pericapritermes nitobei,-0.11979823455233292,['COX1'],-0.3191489361702128,126
28,Pericapritermes nitobei,-0.12852664576802508,['COX2'],-0.46994535519125685,68
29,Pericapritermes nitobei,-0.10526315789473684,['ATP8'],-0.7590361445783133,8
30,Pericapritermes nitobei,-0.15625,['ATP6'],-0.5470588235294118,49
31,Pericapritermes nitobei,-0.06030150753768844,['COX3'],-0.37084398976982097,88
32,Pericapritermes nitobei,-0.18857142857142858,['ND3'],-0.5083798882681564,37
33,Pericapritermes nitobei,-0.6552380952380953,['ND5'],0.01775147928994083,-152
34,Pericapritermes nitobei,-0.6666666666666666,['ND4'],0.0963855421686747,-133
35,Pericapritermes nitobei,-0.7348066298342542,['ND4L'],-0.102803738317757,-22
36,Pericapritermes nitobei,-0.10222222222222223,['ND6'],-0.6853932584269663,61
37,Pericapritermes nitobei,-0.047787610619469026,['CYTB'],-0.43409490333919154,128
38,Pericapritermes nitobei,-0.6639209225700164,['ND1'],0.09253731343283582,-95
39,Incisitermes minor,-0.13957934990439771,['ND2'],-0.348,62
40,Incisitermes minor,-0.13032258064516128,['COX1'],-0.3246753246753247,157
41,Incisitermes minor,-0.11044776119402985,['COX2'],-0.42857142857142855,39
42,Incisitermes minor,-0.0684931506849315,['ATP8'],-0.6629213483146067,13
43,Incisitermes minor,-0.06936416184971098,['ATP6'],-0.41641337386018235,65
44,Incisitermes minor,-0.13930348258706468,['COX3'],-0.35400516795865633,68
45,Incisitermes minor,-0.14772727272727273,['ND3'],-0.47191011235955055,35
46,Incisitermes minor,-0.6189555125725339,['ND5'],0.031791907514450865,-146
47,Incisitermes minor,-0.6155717761557178,['ND4'],0.11627906976744186,-102
48,Incisitermes minor,-0.679144385026738,['ND4L'],0.0,-27
49,Incisitermes minor,-0.14009661835748793,['ND6'],-0.6170212765957447,49
50,Incisitermes minor,-0.02905982905982906,['CYTB'],-0.41712204007285975,120
51,Incisitermes minor,-0.5906040268456376,['ND1'],0.11370262390670553,-70
52,Coptotermes suzhouensis,-0.05952380952380952,['ND2'],-0.4868913857677903,96
53,Coptotermes suzhouensis,-0.06459948320413436,['COX1'],-0.3643410852713178,177
54,Coptotermes suzhouensis,0.04938271604938271,['COX2'],-0.4792243767313019,78
55,Coptotermes suzhouensis,0.0684931506849315,['ATP8'],-0.813953488372093,11
56,Coptotermes suzhouensis,-0.07228915662650602,['ATP6'],-0.5644699140401146,70
57,Coptotermes suzhouensis,0.02030456852791878,['COX3'],-0.41265822784810124,111
58,Coptotermes suzhouensis,-0.017964071856287425,['ND3'],-0.5721925133689839,52
59,Coptotermes suzhouensis,-0.6834123222748815,['ND5'],0.16542473919523099,-183
60,Coptotermes suzhouensis,-0.6462093862815884,['ND4'],0.25396825396825395,-136
61,Coptotermes suzhouensis,-0.7049180327868853,['ND4L'],0.14285714285714285,-24
62,Coptotermes suzhouensis,-0.0319634703196347,['ND6'],-0.6776556776556777,53
63,Coptotermes suzhouensis,0.036231884057971016,['CYTB'],-0.506896551724138,172
64,Coptotermes suzhouensis,-0.6644295302013423,['ND1'],0.20116618075801748,-101
65,Hospitalitermes medioflavus,-0.11798839458413926,['ND2'],-0.4446601941747573,88
66,Hospitalitermes medioflavus,-0.089058524173028,['COX1'],-0.3096179183135705,137
67,Hospitalitermes medioflavus,-0.055900621118012424,['COX2'],-0.465564738292011,79
68,Hospitalitermes medioflavus,-0.17333333333333334,['ATP8'],-0.8095238095238095,8
69,Hospitalitermes medioflavus,-0.08484848484848485,['ATP6'],-0.5270655270655271,73
70,Hospitalitermes medioflavus,0.05583756345177665,['COX3'],-0.3264781491002571,95
71,Hospitalitermes medioflavus,-0.10344827586206896,['ND3'],-0.4367816091954023,35
72,Hospitalitermes medioflavus,-0.6187563710499491,['ND5'],0.1368421052631579,-156
73,Hospitalitermes medioflavus,-0.6206482593037215,['ND4'],0.18199608610567514,-119
74,Hospitalitermes medioflavus,-0.7303370786516854,['ND4L'],0.1346153846153846,-24
75,Hospitalitermes medioflavus,-0.09259259259259259,['ND6'],-0.6245210727969349,43
76,Hospitalitermes medioflavus,0.06502636203866433,['CYTB'],-0.4336283185840708,123
77,Hospitalitermes medioflavus,-0.6550522648083623,['ND1'],0.07428571428571429,-79
78,Embiratermes neotenicus,-0.14003944773175542,['ND2'],-0.4523809523809524,75
79,Embiratermes neotenicus,-0.11363636363636363,['COX1'],-0.29880478087649404,125
80,Embiratermes neotenicus,-0.06501547987616099,['COX2'],-0.47513812154696133,67
81,Embiratermes neotenicus,-0.0410958904109589,['ATP8'],-0.7906976744186046,13
82,Embiratermes neotenicus,-0.06990881458966565,['ATP6'],-0.5587392550143266,73
83,Embiratermes neotenicus,-0.07692307692307693,['COX3'],-0.4198473282442748,92
84,Embiratermes neotenicus,-0.15294117647058825,['ND3'],-0.5869565217391305,37
85,Embiratermes neotenicus,-0.6455958549222798,['ND5'],0.10060975609756098,-146
86,Embiratermes neotenicus,-0.6396614268440145,['ND4'],0.1760154738878143,-134
87,Embiratermes neotenicus,-0.6847826086956522,['ND4L'],-0.061224489795918366,-14
88,Embiratermes neotenicus,-0.1559633027522936,['ND6'],-0.583011583011583,50
89,Embiratermes neotenicus,-0.0053475935828877,['CYTB'],-0.44153577661431065,153
90,Embiratermes neotenicus,-0.6706689536878216,['ND1'],0.1873198847262248,-85
91,Labiotermes labralis,-0.19373776908023482,['ND2'],-0.44,70
92,Labiotermes labralis,-0.21804511278195488,['COX1'],-0.32262382864792505,104
